Date,Price(Adani),Price(Reliance)
2024-02-02,3157.449951,2915.399902
2024-02-05,3173.449951,2878.050049
2024-02-06,3203.75,2855.600098
2024-02-07,3229.850098,2884.300049
2024-02-08,3168.600098,2900.25
