Date,Open,High,Low,Close,Adj Close,Volume
2016-03-02,647.250000,669.849976,641.700012,650.549988,647.796265,3546154
2016-03-09,649.950012,670.000000,632.049988,639.500000,636.793091,13390292
2016-03-16,636.500000,669.849976,635.500000,666.299988,663.479492,12227433
2016-03-23,666.000000,682.000000,655.099976,671.500000,668.657654,8140748
2016-03-30,675.049988,694.900024,664.750000,668.750000,665.919250,13232356
2016-04-06,669.000000,682.049988,655.500000,677.349976,674.482849,7487429
2016-04-13,687.000000,699.950012,657.700012,683.349976,680.457458,4075999
2016-04-20,687.400024,705.000000,671.099976,700.849976,697.883240,8520229
2016-04-27,702.400024,724.750000,695.500000,707.450012,704.455444,7589250
2016-05-04,706.049988,730.000000,696.099976,722.849976,719.790222,7216742
2016-05-11,717.799988,743.750000,703.000000,708.900024,705.899353,13243332
2016-05-18,708.000000,713.650024,692.500000,698.400024,695.443726,6219522
2016-05-25,704.000000,754.500000,700.500000,746.549988,743.389893,8034136
2016-06-01,749.750000,778.849976,736.400024,772.049988,768.781860,8020418
2016-06-08,768.099976,770.000000,743.349976,752.099976,748.916382,6333053
2016-06-15,757.000000,768.099976,740.000000,746.750000,743.589111,4377329
2016-06-22,747.000000,750.950012,710.750000,743.299988,740.153625,7212916
2016-06-29,745.000000,766.549988,738.400024,740.400024,737.265930,8674849
2016-07-06,740.400024,766.750000,737.599976,763.650024,760.417603,4980859
2016-07-13,763.450012,784.000000,760.450012,777.799988,774.507690,9601562
2016-07-20,778.000000,787.500000,746.349976,751.700012,749.001404,11737837
2016-07-27,752.099976,769.450012,745.500000,760.099976,757.371216,9216273
2016-08-03,759.000000,781.799988,751.000000,764.750000,762.004517,7496565
2016-08-10,769.700012,775.900024,758.650024,772.799988,770.025635,5054780
2016-08-17,771.000000,785.950012,761.099976,778.349976,775.555664,4762564
2016-08-24,779.000000,789.000000,772.049988,786.150024,783.327698,5033868
2016-08-31,795.000000,822.000000,793.150024,818.049988,815.113159,6467010
2016-09-07,818.849976,825.400024,800.250000,813.299988,810.380066,4781877
2016-09-14,813.900024,820.000000,791.500000,792.750000,789.903992,11391251
2016-09-21,794.099976,803.400024,782.500000,784.450012,781.633789,11165088
2016-09-28,783.000000,799.450012,766.099976,791.700012,788.857788,61580668
2016-10-05,794.799988,794.799988,775.150024,780.200012,777.398987,3860239
2016-10-12,780.200012,783.950012,764.000000,776.950012,774.160767,6344553
2016-10-19,779.000000,793.000000,768.950012,786.549988,783.726196,8694602
2016-10-26,783.000000,822.000000,781.099976,805.549988,802.658081,8144094
2016-11-02,799.900024,815.299988,790.099976,811.799988,808.885681,5122489
2016-11-09,778.799988,833.450012,762.000000,789.549988,786.715454,12182781
2016-11-16,796.849976,796.849976,753.700012,769.599976,766.837036,11419970
2016-11-23,772.000000,774.000000,736.200012,745.400024,742.723938,11330626
2016-11-30,746.000000,760.000000,720.000000,734.000000,731.364807,6553886
2016-12-07,735.549988,752.500000,723.000000,730.950012,728.325867,4851577
2016-12-14,730.299988,734.599976,712.000000,718.349976,715.771057,7611243
2016-12-21,717.099976,726.500000,704.099976,712.150024,709.593323,4759965
2016-12-28,712.000000,722.750000,707.150024,711.750000,709.194763,6093988
2017-01-04,713.000000,724.250000,692.500000,712.650024,710.091492,12510829
2017-01-11,715.000000,736.200012,708.000000,726.000000,723.393616,7113625
2017-01-18,725.099976,745.000000,718.000000,743.349976,740.681213,5820139
2017-01-25,747.500000,802.099976,745.049988,774.150024,771.370789,16066049
2017-02-01,777.500000,784.950012,739.150024,773.349976,770.573669,13501063
2017-02-08,774.400024,796.349976,762.000000,790.299988,787.462769,8928880
2017-02-15,791.200012,811.000000,780.250000,797.900024,795.035522,9355657
2017-02-22,799.799988,814.400024,792.500000,802.099976,799.220398,9035925
2017-03-01,802.099976,828.700012,802.049988,817.000000,814.066895,11130319
2017-03-08,823.049988,851.450012,819.200012,836.150024,833.148193,9881817
2017-03-15,837.000000,862.000000,835.150024,859.549988,856.464111,10677166
2017-03-22,853.000000,886.400024,848.500000,859.450012,856.364502,18292946
2017-03-29,864.099976,880.000000,852.549988,875.950012,872.805298,9970029
2017-04-05,880.000000,897.500000,867.500000,881.049988,877.886963,7953414
2017-04-12,881.000000,892.700012,872.500000,881.650024,878.484863,4525958
2017-04-19,879.099976,904.000000,867.200012,898.000000,894.776123,8781992
2017-04-26,899.700012,921.000000,890.000000,917.900024,914.604675,14478983
2017-05-03,920.049988,922.000000,900.000000,906.849976,903.594299,6363142
2017-05-10,911.000000,981.450012,911.000000,959.849976,956.404175,15002258
2017-05-17,962.400024,962.400024,935.099976,940.250000,936.874451,11012983
2017-05-24,938.599976,970.599976,932.500000,961.950012,958.496521,8534996
2017-05-31,962.950012,972.500000,958.900024,966.400024,962.930603,5093058
2017-06-07,970.000000,990.000000,964.000000,974.200012,970.702637,5650438
2017-06-14,970.000000,991.799988,960.200012,983.049988,979.520813,7886531
2017-06-21,982.950012,1004.650024,966.450012,974.750000,971.250549,5872834
2017-06-28,983.750000,983.750000,936.000000,958.799988,955.357788,8829289
2017-07-05,960.700012,972.799988,954.049988,958.750000,955.308044,4955858
2017-07-12,960.000000,990.000000,951.250000,977.099976,973.592163,11872489
2017-07-19,982.500000,1016.400024,970.400024,987.950012,985.019653,21310966
2017-07-26,995.500000,1031.699951,982.500000,1015.299988,1012.288452,10214923
2017-08-02,1015.799988,1023.250000,980.099976,987.700012,984.770386,5300344
2017-08-09,989.000000,1002.500000,973.549988,982.599976,979.685364,7714653
2017-08-16,990.000000,1005.000000,966.299988,970.799988,967.920471,7230881
2017-08-23,978.000000,984.900024,962.000000,964.400024,961.539490,5627830
2017-08-30,970.000000,998.599976,963.549988,988.400024,985.468262,7024891
2017-09-06,987.000000,1024.550049,980.049988,1021.750000,1018.719360,8302875
2017-09-13,1022.000000,1045.400024,997.500000,1034.349976,1031.282104,10839355
2017-09-20,1034.500000,1037.000000,990.400024,994.000000,991.051636,7935243
2017-09-27,997.500000,1015.000000,968.000000,1006.549988,1003.564331,11642503
2017-10-04,1008.599976,1061.000000,1008.599976,1055.650024,1052.518799,7867527
