Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,16.975000,17.690001,16.719999,17.225000,16.158926,5982600
2014-01-08,17.184999,17.280001,16.705000,17.049999,15.994757,7502000
2014-01-15,17.455000,17.785000,17.030001,17.475000,16.393454,7770000
2014-01-22,17.504999,17.504999,15.460000,15.770000,14.793980,14324000
2014-01-29,15.515000,15.950000,15.285000,15.740000,14.765836,7473400
2014-02-05,15.785000,16.795000,15.450000,16.709999,15.675801,8683400
2014-02-12,16.660000,16.924999,16.110001,16.809999,15.769612,5526600
2014-02-19,16.905001,17.135000,16.485001,16.799999,15.760231,6758400
2014-02-26,17.035000,17.035000,16.400000,17.004999,15.952540,11943000
2014-03-05,16.924999,19.200001,16.875000,18.684999,17.528566,15827400
2014-03-12,18.684999,19.405001,18.549999,19.320000,18.124262,19047600
2014-03-19,19.290001,19.895000,18.930000,19.790001,18.565176,21211400
2014-03-26,19.750000,20.559999,19.670000,20.510000,19.240616,13443000
2014-04-02,20.315001,20.754999,20.030001,20.295000,19.038925,12797600
2014-04-09,20.350000,20.830000,20.004999,20.334999,19.076443,10912200
2014-04-16,20.469999,20.525000,19.889999,19.924999,18.691820,7826000
2014-04-23,19.965000,20.115000,19.635000,19.875000,18.644920,9270200
2014-04-30,19.875000,20.480000,19.760000,20.440001,19.174950,6917200
2014-05-07,20.360001,22.860001,20.250000,21.955000,20.596182,12574600
2014-05-14,21.815001,23.605000,21.434999,23.290001,21.848558,16730400
2014-05-21,23.030001,23.655001,22.549999,22.700001,21.295073,7831600
2014-05-28,23.030001,23.745001,22.420000,23.594999,22.134682,19983800
2014-06-04,23.295000,23.820000,23.280001,23.635000,22.172205,7663000
2014-06-11,23.540001,24.375000,23.270000,23.490000,22.036182,10629400
2014-06-18,23.285000,23.780001,23.035000,23.555000,22.097157,7642800
2014-06-25,23.430000,24.264999,22.740000,24.205000,22.706930,8714400
2014-07-02,24.475000,24.910000,23.910000,24.145000,22.823772,6518400
2014-07-09,24.250000,24.250000,23.049999,23.605000,22.313320,7711200
2014-07-16,23.745001,24.700001,23.600000,24.575001,23.230246,9256000
2014-07-23,24.555000,24.820000,23.875000,23.895000,22.587454,5455000
2014-07-30,24.135000,24.375000,23.415001,23.770000,22.469294,8254000
2014-08-06,23.495001,24.049999,22.780001,23.610001,22.318052,10361800
2014-08-13,23.840000,25.055000,23.820000,24.775000,23.419300,7363600
2014-08-20,24.754999,25.145000,24.270000,24.500000,23.159344,6461400
2014-08-27,24.559999,25.325001,24.455000,25.305000,23.920296,5200000
2014-09-03,25.309999,25.834999,25.004999,25.120001,23.745420,7582000
2014-09-10,25.150000,25.270000,24.070000,24.230000,22.904121,7867000
2014-09-17,24.330000,24.445000,23.620001,23.850000,22.544918,10154200
2014-09-24,23.895000,24.115000,23.174999,23.290001,22.015560,8972400
2014-10-01,23.275000,23.655001,22.780001,23.325001,22.048643,7011800
2014-10-08,23.375000,24.360001,23.375000,24.280001,22.951385,7775000
2014-10-15,23.889999,25.350000,23.674999,25.115000,23.740694,8679600
2014-10-22,25.090000,25.559999,24.625000,25.545000,24.147165,7113400
2014-10-29,25.420000,26.455000,25.045000,26.295000,24.856127,6031400
2014-11-05,26.305000,26.735001,25.674999,25.825001,24.411844,5276800
2014-11-12,25.770000,26.465000,25.424999,26.315001,24.875031,7312600
2014-11-19,26.120001,27.370001,25.555000,25.690001,24.284231,14698800
2014-11-26,26.200001,26.780001,25.370001,25.395000,24.005375,11043400
2014-12-03,25.275000,25.879999,25.030001,25.740000,24.331491,9867800
2014-12-10,25.740000,25.754999,23.799999,24.410000,23.074272,8042000
2014-12-17,24.475000,26.205000,24.440001,25.459999,24.066816,7972800
2014-12-24,25.299999,25.559999,25.025000,25.340000,23.953382,2266000
2014-12-31,25.434999,26.139999,24.660000,24.965000,23.598900,5099400
2015-01-07,25.209999,26.600000,25.129999,25.920000,24.501644,8156200
2015-01-14,25.715000,29.525000,25.530001,29.480000,27.866840,14246000
2015-01-21,29.155001,31.049999,29.155001,31.000000,29.303665,10772000
2015-01-28,30.885000,30.885000,28.219999,28.285000,26.737230,18780800
2015-02-04,28.455000,29.344999,27.860001,28.795000,27.219324,29265800
2015-02-11,28.895000,30.059999,28.450001,29.280001,27.677786,9856200
2015-02-18,29.365000,30.115000,29.059999,30.049999,28.405649,10953400
2015-02-25,29.790001,31.985001,29.750000,31.115000,29.412373,14852800
2015-03-04,31.000000,31.844999,29.950001,30.190001,28.537991,9777600
2015-03-11,30.020000,31.245001,29.834999,30.809999,29.124062,9919400
2015-03-18,30.750000,31.285000,29.510000,29.645000,28.022814,10312200
2015-03-25,29.730000,29.764999,28.465000,29.445000,27.833757,9386200
2015-04-01,29.834999,30.459999,29.480000,30.000000,28.358389,7045800
2015-04-08,30.155001,30.395000,29.014999,29.705000,28.079529,9208600
2015-04-15,29.565001,29.610001,28.045000,28.340000,26.789223,9750400
2015-04-22,28.535000,28.780001,28.155001,28.600000,27.034994,8965000
2015-04-29,28.275000,28.750000,28.219999,28.290001,26.741959,6552200
2015-05-06,27.940001,28.780001,27.100000,28.075001,26.538725,8334600
2015-05-13,28.264999,29.290001,28.120001,29.170000,27.573803,7137200
2015-05-20,29.469999,29.889999,28.865000,29.385000,27.777042,6416000
2015-05-27,29.725000,29.955000,28.575001,29.280001,27.677786,6683800
2015-06-03,29.250000,29.375000,28.014999,28.094999,26.557629,6476600
2015-06-10,28.510000,28.815001,28.014999,28.325001,26.775043,5609800
2015-06-17,28.370001,30.075001,28.200001,29.934999,28.296942,9718600
2015-06-24,29.695000,30.895000,29.575001,30.264999,28.608885,11085000
2015-07-01,30.545000,31.250000,30.360001,31.225000,29.700472,4975400
2015-07-08,30.655001,31.155001,29.790001,30.930000,29.419878,7979000
2015-07-15,30.934999,32.060001,30.895000,30.895000,29.386585,9145400
2015-07-22,31.350000,31.350000,30.014999,30.735001,29.234400,7756200
2015-07-29,30.799999,31.580000,30.690001,31.469999,29.933514,6625400
2015-08-05,31.639999,32.064999,30.830000,31.150000,29.629135,4817000
2015-08-12,30.520000,31.975000,30.504999,30.995001,29.481707,6019400
2015-08-19,30.940001,31.040001,25.820000,28.594999,27.198879,11689000
2015-08-26,29.100000,29.434999,27.754999,27.934999,26.571106,10147000
2015-09-02,28.209999,29.055000,27.825001,28.450001,27.060961,6530000
2015-09-09,28.725000,28.940001,28.160000,28.559999,27.165590,7430800
2015-09-16,28.795000,30.010000,28.764999,29.215000,27.788610,7663400
2015-09-23,29.530001,30.415001,29.010000,30.059999,28.592352,10297400
2015-09-30,30.290001,32.415001,30.209999,32.070000,30.504217,9587200
2015-10-07,32.154999,32.720001,30.825001,30.934999,29.424635,8100600
2015-10-14,30.934999,32.064999,30.700001,31.799999,30.247400,9449600
2015-10-21,32.044998,32.189999,30.895000,31.895000,30.337761,8693800
2015-10-28,31.870001,31.920000,30.330000,30.915001,29.405609,6071800
2015-11-04,30.910000,30.940001,28.950001,29.070000,27.650688,7179800
2015-11-11,29.290001,29.415001,28.285000,29.250000,27.821901,5278200
2015-11-18,28.915001,29.709999,28.375000,28.985001,27.569841,7455800
2015-11-25,29.084999,30.115000,28.530001,29.930000,28.468702,5638800
2015-12-02,29.760000,29.995001,28.934999,29.139999,27.717268,6579600
2015-12-09,28.990000,29.385000,28.059999,29.254999,27.826654,7338000
2015-12-16,29.420000,30.365000,29.225000,30.230000,28.754051,7922800
2015-12-23,30.475000,30.555000,29.934999,30.514999,29.025137,1792800
2015-12-30,30.465000,30.955000,29.674999,30.250000,28.773079,4368600
2016-01-06,30.045000,30.430000,29.200001,29.945000,28.482967,6313200
2016-01-13,29.940001,30.250000,28.025000,28.299999,26.918283,6117600
2016-01-20,27.660000,28.320000,26.565001,28.225000,26.846947,8570200
2016-01-27,28.205000,30.240000,28.180000,29.334999,27.902750,10077200
2016-02-03,29.299999,29.915001,28.035000,28.510000,27.118032,5728600
2016-02-10,28.440001,28.795000,26.850000,27.315001,25.981373,9544400
2016-02-17,27.469999,28.165001,26.379999,26.389999,25.101538,7974400
2016-02-24,25.865000,27.950001,25.555000,27.850000,26.490255,9382400
2016-03-02,28.125000,28.754999,27.745001,27.995001,26.628176,5778800
2016-03-09,28.139999,28.790001,27.955000,28.209999,26.832678,7477800
2016-03-16,28.209999,29.945000,28.080000,29.530001,28.088230,6513400
2016-03-23,29.440001,29.655001,29.000000,29.580000,28.135788,4227000
2016-03-30,29.750000,31.135000,29.684999,30.350000,28.868198,10443600
2016-04-06,30.295000,30.555000,29.900000,30.500000,29.010872,6275800
2016-04-13,30.900000,31.905001,30.735001,31.700001,30.152281,5181800
2016-04-20,31.670000,31.879999,31.090000,31.555000,30.014362,4859600
2016-04-27,31.735001,32.000000,30.969999,31.334999,29.805103,6916400
2016-05-04,31.205000,32.490002,31.129999,32.165001,30.594582,5178200
2016-05-11,32.165001,32.494999,31.549999,31.695000,30.147524,5120200
2016-05-18,31.610001,32.240002,30.834999,31.745001,30.195087,7274800
2016-05-25,32.195000,32.500000,32.025002,32.180000,30.608850,6367600
2016-06-01,32.005001,33.290001,31.705000,33.150002,31.531492,5284200
2016-06-08,32.910000,33.264999,31.815001,31.870001,30.313984,5506400
2016-06-15,32.325001,33.174999,32.200001,33.064999,31.450634,8185600
2016-06-22,33.084999,33.570000,31.665001,32.445000,30.860907,6622400
2016-06-29,32.875000,33.389999,32.580002,33.005001,31.596807,5119400
2016-07-06,32.840000,34.174999,32.560001,33.900002,32.453629,5813200
2016-07-13,33.980000,34.630001,33.555000,34.310001,32.846134,3472800
2016-07-20,34.480000,34.845001,34.279999,34.355000,32.889210,4055400
2016-07-27,34.430000,34.994999,34.334999,34.645000,33.166840,5851000
2016-08-03,34.590000,34.985001,34.305000,34.860001,33.372665,7025400
2016-08-10,34.500000,35.509998,34.060001,35.485001,33.971004,6247600
2016-08-17,35.490002,35.869999,35.105000,35.450001,33.937500,3980800
2016-08-24,35.674999,36.115002,35.255001,35.865002,34.334785,5811800
2016-08-31,36.080002,37.020000,35.825001,37.020000,35.440510,7984200
2016-09-07,36.750000,37.009998,35.264999,35.404999,33.894409,6467400
2016-09-14,35.505001,36.009998,35.185001,35.924999,34.392227,6539600
2016-09-21,36.095001,36.970001,36.035000,36.549999,34.990562,5560600
2016-09-28,36.619999,36.759998,35.520000,36.570000,35.009708,7784600
2016-10-05,36.560001,36.720001,35.845001,35.990002,34.454456,2837000
2016-10-12,35.830002,36.494999,35.305000,36.419998,34.866108,5634200
2016-10-19,36.270000,36.695000,35.119999,35.169998,33.669437,6549400
2016-10-26,35.080002,35.799999,34.724998,34.965000,33.473183,5373400
2016-11-02,34.990002,35.195000,34.360001,34.419998,32.951443,5855800
2016-11-09,35.040001,35.650002,33.634998,33.744999,32.305233,8541600
2016-11-16,33.450001,33.549999,31.155001,31.325001,29.988493,11843000
2016-11-23,31.180000,32.290001,31.105000,32.189999,30.816587,9300200
2016-11-30,32.645000,32.965000,31.434999,32.505001,31.118145,10310800
2016-12-07,31.969999,32.814999,31.325001,31.820000,30.462370,9740200
2016-12-14,31.500000,31.635000,29.549999,30.209999,28.921064,13047800
2016-12-21,30.215000,30.650000,30.150000,30.514999,29.213051,4934200
2016-12-28,30.490000,30.700001,29.500000,29.590000,28.327518,7172400
2017-01-04,29.725000,31.135000,29.555000,30.945000,29.624702,10669800
2017-01-11,31.344999,32.610001,31.245001,32.445000,31.060703,10463800
2017-01-18,32.500000,33.435001,31.709999,33.320000,31.898373,9108600
2017-01-25,33.584999,34.895000,33.584999,34.465000,32.994522,8614600
2017-02-01,34.935001,35.825001,34.535000,35.720001,34.195972,7555600
2017-02-08,35.470001,35.939999,35.305000,35.700001,34.176830,6853600
2017-02-15,35.724998,36.660000,34.445000,36.310001,34.760803,12661200
2017-02-22,36.025002,36.255001,35.520000,35.845001,34.315636,4166000
2017-03-01,36.014999,36.564999,35.369999,35.525002,34.009296,5740000
2017-03-08,35.770000,36.509998,35.424999,36.139999,34.598053,5760200
2017-03-15,36.349998,37.494999,36.009998,36.134998,34.593262,8830000
2017-03-22,36.264999,37.470001,36.014999,37.014999,35.435722,9194200
2017-03-29,37.020000,38.110001,36.654999,38.005001,36.383488,9199200
2017-04-05,37.924999,38.459999,37.750000,38.430000,36.790356,6073200
2017-04-12,38.455002,39.075001,38.285000,39.029999,37.364750,4598200
